Name,Beer Name (Full),ABV
Beerlao Dark,Lao Brewery Co. Beerlao Dark,"0,07"
Black Licorice Lager,Short's Brewing Company Black Licorice Lager,"0,08"
Bernard Cerne (Dark),Bernard Family Brewery Bernard Cerne,"0,05"
Alhambra Negra,"Grupo Cervezas Alhambra, SL Alhambra Negra","0,05"
Kelso Nut Brown Lager,Greenpoint Beerworks / Kelso of Brooklyn Kelso Nut Brown Lager,"0,06"
Dark Horse Lager,Elevator Brewery & Draught Haus Elevator Dark Horse Lager,"0,05"
Žatec Dark Lager,Žatecký Pivovar Žatec Dark Lager,"0,06"
Faxe Amber,Royal Unibrew A/S Faxe Amber,"0,05"
Super Bock Stout,UNICER União Cervejeira S.A. Super Bock Stout,"0,05"
Black Lager (Černé Pivo),Notch Brewing Notch Černé Pivo,"0,04"
DAB Dark Beer,Dortmunder Actien Brauerei / DAB DAB Dark Beer,"0,05"
Sagres Cerveja Preta (Dark),Sociedade Central de Cervejas Sagres Cerveja Preta (Dark),"0,04"
Obolon Oksamytove (Deep Velvet),Obolon Brewery Obolon Oksamytove (Deep Velvet),"0,05"
U Fleku Dark Lager,U Fleků Pivovaru a Restauraci U Fleku Dark Lager,"0,05"
Yebisu Black Beer,Sapporo Breweries Ltd. Yebisu Black Beer,"0,05"
Staropramen Granat Beer,Pivovary Staropramen Staropramen Granat Prague,"0,05"
Honey Brown Lager,Big Rock Brewery Honey Brown Lager,"0,05"
Bohemia,Sociedade Central de Cervejas Bohemia,"0,06"
Primator Dark Lager,Pivovar Náchod a.s. Primator Dark Lager,"0,05"
Asahi Dry Black,Asahi Breweries Ltd Asahi Honnama Clear Black,"0,06"
Dark 266,Cameron's Brewing Co. Dark 266,"0,05"
Heineken Oud Bruin,Heineken Nederland B.V. Heineken Oud Bruin,"0,03"
Stella Artois,Stella Artois Stella Artois,"0,05"
Heineken Lager Beer,Heineken Nederland B.V. Heineken Lager Beer,"0,05"
Harp Lager,Guinness Ltd. Harp Lager,"0,05"
Peroni Nastro Azzurro,Birra Peroni Industriale S.p.A. Peroni Nastro Azzurro,"0,05"
Grolsch Premium Lager,Grolsch Bierbrouwerij N.V. Grolsch Premium Lager,"0,05"
Carlsberg Beer,Carlsberg Danmark A/S Carlsberg Beer,"0,05"
Kronenbourg 1664,Brasseries Kronenbourg Kronenbourg 1664,"0,06"
Birra MorettiBirra Moretti (Heineken),Birra Moretti (Heineken) Birra Moretti,"0,05"
Singha,"Boon Rawd Brewery Co., Ltd Singha","0,05"
St. Pauli Girl,St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co. St. Pauli Girl,"0,05"
Pure Brewed Organic Lager BeerSamuel Smith Old Brewery (Tadcaster),Samuel Smith Old Brewery (Tadcaster) Samuel Smith's Pure Brewed Lager Beer,"0,05"
Tiger Beer,Asia Pacific Breweries Ltd. Tiger Beer,"0,05"
Zywiec BeerZywiec Breweries PLC (Heineken),Zywiec Breweries PLC (Heineken) Zywiec Beer,"0,06"
Kingfisher Premium Lager,United Breweries - UB Group Kingfisher Premium Lager,"0,05"
Estrella Damm,Damm S. A. Estrella Damm,"0,05"
Mythos Hellenic Lager Beer,Mythos Breweries S.A. Mythos Hellenic Lager Beer,"0,05"
Irish Style Lager,Rogue Ales Kells Irish Style Lager,"0,05"
Efes Pilsener,Anadolu Efes Brewery Efes Pilsener,"0,05"
Quilmes,Cervecería y Maltería Quilmes / Grupo Bemberg Quilmes,"0,05"
Steinlager,New Zealand Breweries Limited Steinlager,"0,05"
O.K. BeerBrowar Okocim S.A. (Carlsberg),Browar Okocim S.A. (Carlsberg) O.K. Beer,"0,06"
Baltika #3 Classic,Baltika Breweries Baltika #3 Classic,"0,05"
Oranjeboom Premium Lager,Oranjeboom Bierbrouwerij B. V. Oranjeboom Premium Lager,"0,05"
Amstel Lager,Amstel Brouwerij B. V. Amstel Lager,"0,05"
Sapporo Reserve,Sapporo Breweries Ltd. Sapporo Reserve,"0,05"
Tennent's Lager,Tennent Caledonian Breweries Tennent's Lager,"0,04"
Jupiler,Brasserie Piedboeuf Jupiler,"0,05"
James Boag's Premium Lager,J. Boag & Son Brewing James Boag's Premium Lager,"0,05"
Estrella Damm Daura,Damm S. A. Estrella Damm Daura,"0,05"
Original Organic Lager,Mill Street Brew Pub Mill Street Original Organic Lager,"0,04"
Sympathy For The Lager,Karbach Brewing Co. Sympathy For The Lager,"0,05"
Tuborg Pilsner Beer (Green / Grøn),Tuborgs Bryggerier A/S Tuborg Pilsner Beer (Green / Grøn),"0,05"
GösserBrauerei Göss (Brau Union),Brauerei Göss (Brau Union) Gösser,"0,05"
Hite,Hite Brewery Company LTD Hite,"0,05"
Yanjing Beer,Beijing Yanjing Beer Group Corporation Yanjing Beer,"0,05"
Lech PremiumLech Browary Wielkopolski (SABMiller),Lech Browary Wielkopolski (SABMiller) Lech Premium,"0,05"
Baltika #5 Gold,Baltika Breweries Baltika #5 Gold,"0,05"
Faxe Premium,Royal Unibrew A/S Faxe Premium Danish Lager,"0,05"
Casablanca Beer,Brasseries Du Maroc Casablanca Beer,"0,05"
Cinco Estrellas,Mahou S.A. Cinco Estrellas,"0,06"
Hinano,Brasserie de Tahiti S.A. Hinano,"0,05"
Pilsener,Browerij Nacional Balashi Balashi,"0,05"
Tuborg Premium Lager (Gold / Guld),Tuborgs Bryggerier A/S Tuborg Premium Lager (Gold / Guld),"0,05"
Elephant Beer,Carlsberg Danmark A/S Elephant Beer,"0,07"
Baltika #9 Extra (Strong),Baltika Breweries Baltika #9 Extra (Strong),"0,08"
Warka Premium (Strong),Browary Warka Sp. z o.o. Warka Strong,"0,07"
Lion Imperial Premium Malt Pilsner,Ceylon / Lion Brewery Limited Lion Imperial Premium Malt Pilsner,"0,09"
Reserva 1925,"Grupo Cervezas Alhambra, SL Reserva 1925","0,06"
Hevelius Kaper,Elbrewery Co. Ltd. Sp. z o.o. Hevelius Kaper,"0,09"
Lobster Lovers Beer,Rinkuškiai Alaus Darykloje Lobster Lovers Beer,"0,10"
Okocim MocneBrowar Okocim S.A. (Carlsberg),Browar Okocim S.A. (Carlsberg) Okocim Mocne,"0,08"
Faxe Extra Strong,Royal Unibrew A/S Faxe Extra Strong,"0,10"
Christoffel Nobel,Bierbrouwerij Sint Christoffel B.V Christoffel Nobel,"0,09"
Before-After Premium Lager (12% ABV),Rinkuškiai Alaus Darykloje Before-After Premium Lager,"0,12"
Bière Du Démon,Les Brasseurs de Gayant Bière Du Démon,"0,12"
Ceres Strong Ale ExportCeres Brewery (Royal Unibrew),Ceres Brewery (Royal Unibrew) Ceres Strong Ale Export,"0,08"
Tennent's Super Strong Lager,Tennent Caledonian Breweries Tennent's Super Strong Lager,"0,09"
Kalnapilis 7.30,Alaus Darykla Kalnapilis Kalnapilis 7.30,"0,07"
Grand 9.5 Beer,Gubernija Brewery Gubernija Grand 9.5 Beer,"0,10"
Boss Beer,BOSS Browar Witnica S.A. Boss Beer,"0,08"
Crest Super Premium Lager,Crest Brewing Company Crest Super Premium Lager,"0,10"
Žaibo,Rinkuškiai Alaus Darykloje aibo,"0,10"
Efes Extra,Anadolu Efes Brewery Efes Extra,"0,08"
Tatra MocneZywiec Breweries PLC (Heineken),Zywiec Breweries PLC (Heineken) Tatra,"0,08"
Special Brew,Carlsberg Danmark A/S Special Brew,"0,09"
Gordon Finest GoldJohn Martin's (John Martin SA),John Martin's (John Martin SA) Gordon Finest Gold,"0,10"
Arsenalnoye Krepkoye (Strong),Baltika Breweries Arsenalnoye Krepkoye (Strong),"0,07"
"Amsterdam Navigator 8,4","Grolsch Bierbrouwerij N.V. Amsterdam Navigator 8,4","0,08"
Cruzcampo Gran Reserva,Grupo Cruzcampo SA Cruzcampo Gran Reserve,"0,06"
San Miguel Selecta,San Miguel Fabricas De Cervaza Y Maltas S.A. San Miguel Selecta,"0,06"
X-Beer 33,Minipivovar U Medvídků X-Beer 33,"0,13"
"Zhiguly Grande 9,5","Rinkuškiai Alaus Darykloje Zhiguly Grande 9,5","0,09"
Amstel Gold,Amstel Brouwerij B. V. Amstel Gold,"0,07"
XO BeerBrasserie des Gabariers (L&L Cognac SA),Brasserie Des Gabariers (L&L Cognac SA) XO Beer,"0,08"
Aiko,Rinkuškiai Alaus Darykloje Aiko,"0,10"
Moritz Epidor,"Cervezas Moritz, S.A. Moritz Epidor","0,07"
Slavutich Mitzne,Slavutych Brewery Slavutich Mitzne,"0,07"
Yarpivo Strong (Krepkoye),Baltika Breweries Yarpivo Strong (Krepkoye),"0,07"
Faxe Royal Strong,Royal Unibrew A/S Faxe Strong,"0,09"
Karpackie SuperBrowar Van Pur S.A. (Brau Union Polska),Browar Van Pur S.A. (Brau Union Polska) Karpackie,"0,09"
Gulpener Gladiator Robuust Bier,Gulpener Bierbrouwerij B.V. Gulpener Gladiator Robuust Bier,"0,10"
Primátor 21% Rytírský (Knight's Lager),Pivovar Náchod a.s. Primátor 21% Rytírský (Knight's Lager),"0,09"
Original Helles,Bayerische Staatsbrauerei Weihenstephan Weihenstephaner Original,"0,05"
Hofbräu Original,Hofbräuhaus München Hofbräu Original,"0,05"
Spaten Münchner Hell (München/Premium Lager),Spaten-Franziskaner-Bräu Spaten Münchner Hell (Premium Lager),"0,05"
Two Women Lager,New Glarus Brewing Company Two Women Lager,"0,05"
Hell Lager,Surly Brewing Company Hell,"0,05"
Münchner Hell (Original Munich Lager),Paulaner Brauerei GmbH & Co. KG Paulaner Original Münchner,"0,05"
Victory Helles Lager,Victory Brewing Company Victory Lager,"0,05"
Löwenbräu Original,Löwenbräu AG Löwenbräu Original,"0,05"
Aecht Schlenkerla Helles Lagerbier,Brauerei Heller-Trum / Schlenkerla Aecht Schlenkerla Helles Lagerbier,"0,04"
Hotter Than Helles Lager,Cigar City Brewing Hotter Than Helles,"0,05"
Hacker-Pschorr Münchner Gold,Hacker-Pschorr Bräu GmbH Hacker-Pschorr Münchner Gold,"0,06"
Gorch Fock,Three Floyds Brewing Co. & Brewpub Gorch Fock,"0,05"
Bikini Blonde Lager,Maui Brewing Co. Bikini Blonde Lager,"0,05"
Longfin Lager,Ballast Point Brewing Company Longfin Lager,"0,05"
Gold Lager,Stoudts Brewing Co. Stoudt's Gold Lager,"0,05"
Stiegl Goldbräu,Stieglbrauerei zu Salzburg GmbH Stiegl Goldbräu,"0,05"
Helles Golden Lager,Sly Fox Brewing Company Helles Golden Lager,"0,05"
Estrella Galicia Especial,"Hijos De Rivera, S.A. Estrella Galicia","0,06"
Firestone Lager,Firestone Walker Brewing Co. Firestone Lager,"0,05"
Penn Gold,Pennsylvania Brewing Company Penn Gold,"0,05"
Henninger Premium Lager,Henninger Bräu AG Henninger Premium Lager,"0,05"
Gold Leaf Lager,Devils Backbone Brewing Company Gold Leaf Lager,"0,05"
Lager House Original Golden Helles,Christian Moerlein Brewing Company Christian Moerlein Lager House Original Golden Helles,"0,05"
Munich-Style Lager,Thomas Hooker Brewing Company Thomas Hooker Munich Style Lager,"0,05"
Rahr's Blonde,Rahr & Sons Brewing Company Rahr's Blonde,"0,05"
Blonde Lager,Rahr & Sons Brewing Company Blonde Lager,"0,05"
Andechser Spezial Hell,Klosterbrauerei Andechs Andechser Spezial Hell,"0,06"
Helles Lager,Fordham Brewing Company Fordham Helles Lager,"0,05"
Hacker-Pschorr Münchner Hell,Hacker-Pschorr Bräu GmbH Hacker-Pschorr Münchner Hell,"0,05"
Hacker-Pschorr Edelhell,Hacker-Pschorr Bräu GmbH Hacker-Pschorr Edelhell,"0,06"
Weltenburger Kloster Barock-Hell,Klosterbrauerei Weltenburg Weltenburger Kloster Barock-Hell,"0,06"
1516 Bavarian Lager,Okanagan Spring Brewery 1516 Bavarian Lager,"0,05"
Helles Belles,Ninkasi Brewing Company Helles Belles,"0,05"
Hummin' Bird,Red Oak Brewery Hummin' Bird,"0,05"
Neuschwansteiner,Der HirschBrau/Privatbrauerei Höss Neuschwansteiner,"0,05"
Ottakringer Helles,Ottakringer Brauerei AG Ottakringer Helles,"0,05"
Hoponius Union,Jack's Abby Brewing Hoponius Union,"0,07"
Kiwi Rising - Double IPL,Jack's Abby Brewing Kiwi Rising,"0,09"
Fathom IPL,Ballast Point Brewing Company Fathom India Pale Lager,"0,07"
Gulo Gulo I.P.L,Wolverine State Brewing Company Gulo Gulo Lager,"0,07"
India Pale Lager,"Pyramid Breweries, Inc. Pale Ale","0,06"
Caesar Augustus (Lager/IPA Hybrid),Williams Brothers Brewing Company Caesar Augustus (Lager/IPA Hybrid),"0,04"
Asahi Super Dry,Asahi Breweries Ltd Asahi Super Dry,"0,05"
Sapporo Original Draft Beer,Sapporo Breweries Ltd. Sapporo Original Draft Beer,"0,05"
Orion Premium Draft Beer,"Orion Beer Co., Ltd. Orion Premium Draft Beer","0,05"
Kirin Lager,"Kirin Brewery Company, Limited Kirin Lager","0,05"
Beerlao Lager,Lao Brewery Co. Beerlao Lager,"0,05"
Sapporo Draft Beer,Sapporo Breweries Ltd. Sapporo Draft Beer,"0,05"
Koshihikari Echigo Beer,Uehara Shuzou Co. Ltd. / Echigo Beer Pub Koshihikari Echigo Beer,"0,05"
Asahi Draft (Jukusen),Asahi Breweries Ltd Asahi Draft (Jukusen),"0,05"
Kirin Classic Lager,"Kirin Brewery Company, Limited Kirin Classic Lager","0,05"
Asahi Orion,Asahi Breweries Ltd Asahi Orion,"0,05"
Asahi Dry Premium,Asahi Breweries Ltd Asahi Premium,"0,06"
Siwo,"Hangzhou Xihu Beer Asahi Co. , Ltd. Siwo","0,04"
Sapporo Fuyumonogatari - The Winter's Tale,Sapporo Breweries Ltd. Sapporo Fuyumonogatari - The Winter's Tale,"0,06"
Organic Beer Shinshu Sansan,Yo-Ho Brewing Company Organic Beer Shinshu Sansan,"0,05"
Zhujiang Beer,Guangzhou Zhujiang Brewery Co. Ltd. Zhujiang Beer,"0,04"
Kirin Bar Beer,"Kirin Brewery Company, Limited Kirin Bar Beer","0,05"
Kirin Premium Draft Beer,"Kirin Brewery Company, Limited Kirin Premium Draft Beer","0,05"
Kirin Ichiban Maribana,"Kirin Brewery Company, Limited Kirin Ichiban Maribana","0,06"
Kirin Brau Meister,"Kirin Brewery Company, Limited Kirin Brau Meister","0,06"
Taiwan Beer Draft Beer Only 18 Days,Taiwan Tobacco & Liquor Corporation Taiwan Beer,"0,05"
Hapa Beer,Great Divide Brewing Company Hapa Beer,"0,05"
Zwickel,Urban Chestnut Brewing Company Zwickel,"0,05"
Mönchshof Kellerbier,Kulmbacher Brauerei AG Mönchshof Kellerbier (Kellerbräu),"0,05"
Hacker-Pschorr Munchner Kellerbier (Anno 1417),Hacker-Pschorr Bräu GmbH Hacker-Pschorr Anno 1417,"0,06"
Buttenheimer Keller Bier,St. Georgenbräu Buttenheimer Keller Bier,"0,05"
Creemore Springs Kellerbier,Creemore Springs Brewery Limited Creemore Springs Kellerbier,"0,05"
Summer Teeth,Columbus Brewing Company Columbus Summer Teeth,"0,05"
Moosbacher Kellerbier,Private Landbrauerei Scheuerer Moosbacher Kellerbier,"0,05"
Zeppelin Bier,Brauerei Max Leibinger GmbH Zeppelin Bier,"0,05"
Beersel Lager,Brouwerij Drie Fonteinen Beersel Lager,"0,05"
Série Signature Kellerbier,Les Trois Mousquetaires Série Signature Kellerbier,"0,06"
Arcobräu Zwickl Lager,Arcobräu Gräfliches Brauhaus Arcobräu Zwickl Lager,"0,05"
Paracelsus Zwickl,Stieglbrauerei zu Salzburg GmbH Paracelsus Zwickl,"0,05"
Kubelbier,Brauerei Hofstetten Krammer GmbH & Co. KG Kubelbier,"0,06"
Fürsten Zwickel,Fürst Wallerstein Brauhaus Fürsten Zwickel,"0,05"
Mönchsambacher Lager,Brauerei Zehendner GmbH Mönchsambacher Lager,"0,06"
Bud Light,Anheuser-Busch Bud Light,"0,04"
Miller Lite,Miller Brewing Co. Miller Lite,"0,04"
Bud Light Lime,Anheuser-Busch Bud Light Lime,"0,04"
Michelob Ultra,Anheuser-Busch Michelob Ultra,"0,04"
Sam Adams LightBoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Sam Adams Light,"0,04"
Natural Light,Anheuser-Busch Natural Light,"0,04"
Corona Light,Grupo Modelo S.A. de C.V. Corona Light,"0,04"
Keystone LightCoors Brewing Company (Molson-Coors),Coors Brewing Company Keystone Light,"0,04"
Bud Light Platinum,Anheuser-Busch Bud Light Platinum,"0,06"
Tsingtao Beer,"Tsingtao Brewery Co., Ltd. Five Star All Malt Beer","0,04"
Busch Light,Anheuser-Busch Busch Light,"0,04"
Amstel Light,Amstel Brouwerij B. V. Amstel Light,"0,04"
Budweiser Select,Anheuser-Busch Budweiser Select,"0,04"
Heineken Premium Light Lager,Heineken Nederland B.V. Heineken Premium Light Lager,"0,04"
Michelob Light,Anheuser-Busch Michelob Light,"0,04"
Miller High Life Light,Miller Brewing Co. Miller High Life Light,"0,04"
Milwaukee's Best Light,Miller Brewing Co. Milwaukee's Best Light,"0,04"
Labatt Blue Light,Labatt Brewing Company Ltd. Labatt Blue Light,"0,04"
Budweiser Select 55,Anheuser-Busch Budweiser Select 55,"0,02"
Michelob Ultra Amber,Anheuser-Busch Michelob Ultra Amber,"0,04"
Michelob Golden Draft Light,Anheuser-Busch Michelob Golden Draft Light,"0,04"
Tecate Light,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V. Tecate Light","0,04"
Michelob Ultra Lime & Prickly Pear Cactus,Anheuser-Busch Michelob Ultra Lime Cactus,"0,04"
Sankaty Light,Cisco Brewers Inc. Sankaty Light,"0,04"
Miller Genuine Draft 64,Miller Brewing Co. Miller Genuine Draft Light 64,"0,03"
Shiner Light Blonde,Spoetzl Brewery Shiner Light Blonde,"0,04"
Genny Light,Genesee Brewing Co. / Dundee Brewing Co. Genny Light,"0,04"
I.C. Light,Pittsburgh Brewing Co. I.C. Light,"0,04"
Medalla Light,Compañía Cervecera de Puerto Rico Medalla Light,"0,04"
Old Milwaukee Light,Pabst Brewing Company Old Milwaukee Light,"0,04"
Beck's Premier Light,Brauerei Beck & Co. Beck's Premier Light,"0,02"
Kirin Light Beer,"Kirin Brewery Company, Limited Kirin Light Beer","0,03"
Michelob Ultra Fruit Pomegranate Raspberry,Anheuser-Busch Michelob Ultra Pomegranate Raspberry,"0,04"
Shiner Light,Spoetzl Brewery Shiner Light,"0,04"
Light,Abita Brewing Co. Light,"0,04"
Red Stripe Light,Desnoes & Geddes Limited Red Stripe Light,"0,04"
Molson Canadian Light,Molson Coors Canada Molson Canadian Light,"0,04"
Beck's Light,Brauerei Beck & Co. Beck's Light,"0,04"
Pabst Blue Ribbon Light,Pabst Brewing Company Pabst Blue Ribbon Light,"0,04"
Presidente Light,Cerveceria Nacional Dominicana Presidente Light,"0,04"
Mickey's,Miller Brewing Co. Mickey's,"0,06"
Steel Reserve 211 (High Gravity),Steel Brewing Company Steel Reserve 211 (High Gravity),"0,08"
Olde English 800,Miller Brewing Co. Olde English 800,"0,06"
Colt 45 Malt Liquor,Pabst Brewing Company Colt 45 Malt Liquor,"0,06"
Molson XXX,Molson Coors Canada Molson XXX,"0,07"
King Cobra Premium Malt Liquor,Anheuser-Busch King Cobra Premium Malt Liquor,"0,06"
Natty Daddy (8%),Anheuser-Busch Natty Daddy,"0,08"
Hurricane Malt Liquor,Anheuser-Busch Hurricane,"0,06"
Magnum,Miller Brewing Co. Magnum,"0,06"
St. Ides High Gravity Malt Liquor,Saint Ides Brewing Company St. Ides High Gravity Malt Liquor,"0,08"
Olde English 800 High Gravity,Miller Brewing Co. Olde English 800 High Gravity,"0,08"
Dog Bite High Gravity Lager,Genesee Brewing Co. / Dundee Brewing Co. Dog Bite High Gravity Lager,"0,08"
Haywards 5000 Super Premium Beer,Shaw Wallace & Company Ltd. Haywards 5000 Super Premium Beer,"0,07"
Schlitz High Gravity V.S.L Very Smooth LagerJOS. Schlitz Brewing Co. (Pabst),JOS. Schlitz Brewing Co. (Pabst) Schlitz High Gravity V.S.L Very Smooth Lager,"0,09"
Labatt Max Ice,Labatt Brewing Company Ltd. Labatt Ice,"0,07"
Country Club Malt Liquor,Pabst Brewing Company Country Club Malt Liquor,"0,06"
Steel Reserve 211 Triple Export,Steel Brewing Company Steel Reserve 211 Triple Export,"0,08"
Colt 45 High Gravity Lager,Pabst Brewing Company Colt 45 High Gravity Lager,"0,09"
Old Monk 10000,Mohan Breweries & Distilleries Ltd Old Monk 10000,"0,08"
Camo Black Ice,Camo Brewing Company Camo Black Ice,"0,11"
Region Riot,Three Floyds Brewing Co. & Brewpub Region Riot,"0,07"
Colt 45 Double Malt Liquor,Pabst Brewing Company Colt 45 Double Malt Liquor,"0,06"
Crazy Stallion,"City Brewing Company, LLC Crazy Stallion","0,06"
Camo Silver Ice,Camo Brewing Company Camo Silver ICE,"0,11"
Evil Eye,Melanie Brewing Company Evil Eye,"0,10"
Camo High Gravity Lager,Camo Brewing Company Camo High Gravity Lager,"0,09"
Stack 101 High Gravity Smooth Lager,United Brands Company Stack High Gravity Lager,"0,10"
Molson Brador,Molson Coors Canada Brador,"0,06"
Earthquake High Gravity Lager (10%),"City Brewing Company, LLC Earthquake High Gravity Lager","0,10"
Schlitz Red Bull X. L. Xtra Long Malt LiquorJOS. Schlitz Brewing Co. (Pabst),JOS. Schlitz Brewing Co. (Pabst) Schlitz Red Bull X. L. Xtra Long Malt Liquor,"0,06"
Axe Head Malt Liquor,Minhas Craft Brewery Axe Head Malt Liquor,"0,11"
Clear Creek Ice,Minhas Craft Brewery Clear Creek Ice,"0,06"
Camo Black Extra,Camo Brewing Company Camo Black Extra,"0,12"
Negra Modelo,Grupo Modelo S.A. de C.V. Negra Modelo,"0,05"
Warsteiner Premium Dunkel,Warsteiner Brauerei Warsteiner Premium Dunkel,"0,05"
Hofbräu Dunkel,Hofbräuhaus München Hofbräu Dunkel,"0,06"
Beck's Dark,Brauerei Beck & Co. Beck's Dark,"0,05"
Harpoon Dark,Harpoon Brewery Barrel Aged Munich Dark,"0,06"
Spaten Dunkel,Spaten-Franziskaner-Bräu Spaten Dunkel,"0,06"
Eastside Dark,"Lakefront Brewery, Inc. Eastside Dark","0,06"
Penn Dark,Pennsylvania Brewing Company Penn Dark,"0,05"
Dark Cloud,Mother Earth Brewing Dark Cloud,"0,05"
Weltenburger Kloster Barock Dunkel,Klosterbrauerei Weltenburg Weltenburger Kloster Barock Dunkel,"0,05"
Asahi Black (Kuronama),Asahi Breweries Ltd Asahi Black (Kuronama),"0,05"
Flensburger Dunkel,Flensburger Brauerei GmbH Und Co. KG Flensburger Dunkel,"0,05"
Pious Monk Dunkel,Church Brew Works Pious Monk Dunkel,"0,04"
Garten Bräu Munich Dark,Capital Brewery Capital Dark,"0,05"
König Ludwig Dunkel,Kaltenberg International / König Ludwig International GmbH & Co.KG König Ludwig Dunkel,"0,05"
Barbarossa Double Dark Lager,Christian Moerlein Brewing Company Barbarossa Double Dark Lager,"0,05"
Red Tape Lager,Jack's Abby Brewing Red Tape Lager,"0,05"
Schadenfreude,Surly Brewing Company Schadenfreude,"0,05"
Ettaler Kloster Dunkel,Klosterbrauerei Ettal / Ettaler Klosterbetriebe GmbH Ettaler Kloster Dunkel,"0,05"
Holzar-Bier,Der HirschBrau/Privatbrauerei Höss Holzar-Bier,"0,05"
Dunkel Lager,Sly Fox Brewing Company Dunkel Lager,"0,05"
Winter Lager,Sprecher Brewing Company Winter Brew,"0,06"
Franconia Dunkel,Franconia Brewing Company Franconia Dunkel,"0,04"
Saranac Lake Effect Lager,Matt Brewing Company Saranac Lake Effect Lager,"0,06"
Hirter Morchl,Brauerei Hirt GmbH Hirter Morchl,"0,05"
Dunkel,The Olde Mecklenburg Brewery Dunkel Lager,"0,05"
Gösser Dark BeerBrauerei Göss (Brau Union),Brauerei Göss (Brau Union) Gösser Dark Beer,"0,04"
Organic Pinkus Jubilate,Brauerei Pinkus Mueller Organic Pinkus Jubilate,"0,06"
León,Grupo Modelo S.A. de C.V. León,"0,05"
Hacker-Pschorr Münchner Dunkel,Hacker-Pschorr Bräu GmbH Hacker-Pschorr Münchner Dunkel,"0,05"
Saranac Long John Lager,Matt Brewing Company Saranac Lager,"0,06"
Fearless Youth,Grimm Brothers Brewhouse Fearless Youth,"0,05"
